	movie_id	subject	object
0	12558882	Vishwam	Rukmani
1	12558882	Rukmani	Vishwam
2	2549266	Terry Hoitz	Francine
3	2549266	Francine	Terry Hoitz
4	61527	Patrick O'Leary	Molly
5	61527	Molly	Patrick O'Leary
6	14652733	John Hamilton	Linda
7	20783444	Xiaohong	Jianjun
8	20783444	Jianjun	Xiaohong
9	24742937	Dean	Dana
10	1388443	Alice	Aldo Bonnard
11	1388443	Aldo Bonnard	Alice
12	5420277	Gail	Michael Beltran
13	5420277	Michael Beltran	Gail
14	29952131	Amit Kumar Singh	Poonam
15	29952131	Rajeshwari	Poonam
16	29952131	Poonam	Amit Kumar Singh
17	171026	Leigh	Sam Bowden
18	171026	Sam Bowden	Leigh
19	171026	Max Cady	Leigh
20	19769765	Hannah	Jake Cabrera
21	19769765	Jake Cabrera	Hannah
22	5008724	Sharma	Rita
23	5008724	Ganga	Rita
24	11445373	Cody Jarrett	Verna
25	32359190	Emily	Leo Fitzjohn
26	32359190	Leo Fitzjohn	Emily
27	14637197	Bimbo	Maggie
28	2702787	Larry Ballentine	Greta
29	2702787	Greta	Larry Ballentine
30	21918632	Doug Billings	Tracy Garner
31	35752295	Rajeev	Renuka
32	3654603	Jurota Yamane	Taka
33	3654603	Taka	Jurota Yamane
34	6060651	Dave	Michael Haney
35	6060651	Michael Haney	Dave
36	5079650	Alison	David Langley
37	5079650	David Langley	Alison
38	32358265	Michelle	Brendan
39	32358265	Brendan	Michelle
40	8988995	Kanakayya	Seetha
41	8988995	Seetha	Kanakayya
42	21076018	Jaimey	Jack Cooper
43	21076018	Jack Cooper	Jaimey
44	25807540	Lou Lorraine	Jim
45	25807540	Jim	Lou Lorraine
46	872386	Louis Dega	Papillon
47	10320328	Mary Page Keller	Sue
48	17215446	Julian Blair	Helen
49	21127928	Dina Hunter	Jerry
50	21127928	Jerry	Dina Hunter
51	10531283	Nirmala Gupta	Dwarka Prasad Gupta
52	10531283	Dwarka Prasad Gupta	Nirmala Gupta
53	5367617	George Armstrong Custer	Libby Bacon
54	5367617	Libby Bacon	George Armstrong Custer
55	32987200	Edgar Dalimore	Thelma Warren
56	32987200	Thelma Warren	Edgar Dalimore
57	2811692	Alvin Dewey	Marie
58	5313828	Robert Coray	Helen Hathaway
59	5313828	Helen Hathaway	Robert Coray
60	1752812	Liza	Wilson Joel
61	1752812	Wilson Joel	Liza
62	1072033	Mark Neuman	Sharon
63	6846215	Mortimer Folchart	Resa
64	6846215	Mo	Resa
65	6846215	Mortimer Folchart	Roxane
66	6846215	Roxane	Mortimer Folchart
67	5549799	Bob Ivanovich	Gail
68	5549799	Gail	Bob Ivanovich
69	14536033	Tillman	Angie
70	14536033	Angie	Tillman
71	17020848	Mike Summers	Franchea
72	6650052	Jaani	Radha
73	6650052	Radha	Jaani
74	33417831	Roland Feldberg	Susanne Feldberg
75	33417831	Susanne Feldberg	Roland Feldberg
76	30366069	El Borras	La Pecas
77	30366069	La Pecas	El Borras
78	142822	Traherne	Lucilla
79	19062669	Elsa	Ralf interrogates Kotler
80	19062669	Ralf interrogates Kotler	Elsa
81	22734911	Azalea	Kharmusi
82	22734911	Kharmusi	Azalea
83	26281666	Ali Hassan	Zoya
84	26281666	Zoya	Ali Hassan
85	1367451	Earl of Greystoke	Lady Alice
86	1367451	Lady Alice	John
87	1367451	John	Lady Alice
88	23404570	Yūki	Tarō
89	55325	Lori	Douglas Quaid
90	55325	Douglas Quaid	Lori
91	27808552	Klaus	Griselda
92	27808552	Rena	Griselda
93	27808552	Griselda	Klaus
94	19958360	Ben Carson	Amy
95	19958360	Amy	Ben Carson
96	8414489	Evelyn	Carl Nash
97	8414489	Carl Nash	Evelyn
98	80530	Claudius	Gertrude
99	25447923	Renuka	Ashwin
100	25447923	Ashwin	Renuka
101	6190944	Helen	Karl von Reiden
102	6190944	Karl von Reiden	Helen
103	26049717	Kiran	Savitri
104	26049717	Savitri	Kiran
105	508458	Phoolan Devi	Puttilal
106	1042090	Fred	Bernice
107	21817139	Kennedy	Lisa
108	26655950	Muskaan	Arif
109	26655950	Arif	Muskaan
110	1370930	Dickie	Teresa
111	1370930	George	Teresa
112	3676065	Elena	Don Pedro
113	3676065	Don Pedro	Elena
114	26104950	Raja	Chitti
115	32895002	Margaret Catchpole	Barry
116	32895002	Barry	Margaret Catchpole
117	2201333	Wendy Robinson	Mark
118	2201333	Mark	Wendy Robinson
119	5479712	Jane	Balu
120	492200	Sally Miles	Felix Farmer
121	492200	Felix Farmer	Sally Miles
122	27420904	Lucy	Angela
123	13362932	Ganga	Tina
124	19286437	Ramu	Leela
125	18426081	Xu Jingyou	Li Xiuzhi
126	18426081	Li Xiuzhi	Xu Jingyou
127	10871400	Bhagwan Shri Krishna	Gayetri
128	19078976	Laura	Clarke
129	7210351	Miles Coombes	Rowena
130	2421509	Paul	Sam
131	2421509	Paul	Lynn
132	2421509	Claire	Sam
133	3229741	Jack Stanton	Dan Merrick
134	3229741	Jack Stanton	Judith
135	3229741	Jenny	Jeb Scott
136	3229741	Dan Merrick	Judith
137	3229741	Judith	Dan Merrick
138	3229741	Judith	Jack Stanton
139	3229741	Jeb Scott	Jenny
140	23675245	Ganga	Ananthan Thampy
141	23675245	Ananthan Thampy	Ganga
142	23675245	Venugopalan Thampi	Nirmala
143	23675245	Nirmala	Venugopalan Thampi
144	4527590	Paul Green	Lisa
145	4527590	Lisa	Paul Green
146	20620714	Sarathy	Ganga
147	20620714	Ganga	Sarathy
148	253834	John Banning	Isobel
149	253834	Mulrooney	Isobel
150	253834	Joseph Whemple	Isobel
151	253834	Isobel	Joseph Whemple
152	54173	Lance	Jody
153	54173	Jody	Lance
154	20669314	Jimmy Nova	Mimi
155	33281201	Clark Davis	Ellen
156	20131442	Dan	Ellen Pierce
157	20131442	Ellen Pierce	Dan
158	31155849	Raghu	Prashanthi
159	31155849	Prashanthi	Raghu
160	3645450	Gunnar	Ulla
161	3645450	Ingemar Johansson	Ulla
162	3645450	Ulla	Ingemar Johansson
163	19362000	Pauline	Bob Murchison
164	19362000	Bessie	Sam Bisbee
165	19362000	Sam Bisbee	Bessie
166	4327278	Rob Sweeney	Katie McGovern
167	4327278	Katie McGovern	Rob Sweeney
168	1430395	Alan McKim	Wendy
169	1430395	Wendy	Alan McKim
170	1589300	Adam	Lois
171	17139921	Ah Bo	Ah Jun
172	17139921	Ah Jun	Ah Bo
173	11472483	Luis	Maria
174	11472483	Maria	Luis
175	1125221	Ellen	Clark Wilhelm Griswold Jr.
176	1125221	Clark Wilhelm Griswold Jr.	Ellen
177	1125221	Margo	Clark Wilhelm Griswold Jr.
178	1125221	Clark Wilhelm Griswold Jr.	Eddie
179	1125221	Frank to the Griswold	Helen
180	1125221	Clark Wilhelm Griswold Jr.	Margo
181	1125221	Helen	Frank to the Griswold
182	3470692	Lucius Cornelius Sulla	Julia
183	3470692	Julia	Lucius Cornelius Sulla
184	3470692	Lucius Cornelius Sulla	Cornelia
185	2379908	Denise	Jerry
186	2379908	Jerry	Denise
187	5637189	Jacob	Rachel
188	5637189	Rachel	Jacob
189	8620409	Ruth	Carl
190	5659888	Brooke	Grant Taylor
191	5659888	Grant Taylor	Brooke
192	25712352	Vadival Vasu	Gowri
193	554858	Angela	Allison Anders Ted
194	554858	Juancho	Sarah
195	554858	Robert Rodriguez	Juancho
196	554858	Juancho	Robert Rodriguez
197	554858	Allison Anders Ted	Angela
198	554858	Sarah	Juancho
199	554858	Siegfried	Angela
200	1901270	Pierce	Helen
201	1901270	Helen	Pierce
202	35610105	George VI	Consort Elizabeth
203	32849380	Proffesor Babish	Anne
204	8476634	Duke Ellington	Fredi Washington
205	10304498	Michelle Williams	Lenny
206	10304498	Lenny	Michelle Williams
207	30921645	Teresa Walden	Sheriff Douglass
208	30921645	Teresa Walden	Gary Wickle
209	30921645	Gary Wickle	Teresa Walden
210	1609553	Pia	Eyal
211	1609553	Eyal	Pia
212	5257449	Bill Compton	Joan
213	5257449	Joan	Bill Compton
214	31404359	Kerry	Jonathan White
215	31404359	Jonathan White	Kerry
216	42507	Richard Strout	Matt Fowler
217	12823099	Grace Farrell	Eleanor
218	12823099	Eleanor	Grace Farrell
219	13346488	Peggy Cornell	Buddy Clayton
220	29034540	Laurence Olivier	Vivien Leigh
221	29034540	Marilyn Monroe	Arthur Miller
222	1592906	Mickey Finn	Lola Marcel
223	1592906	James Finlayson	Lola Marcel
224	7156183	Luana	Tommy Layton
225	7156183	Tommy Layton	Luana
226	14899853	Pervus De Jong	Selina Peake
227	14899853	Selina Peake	Pervus De Jong
228	32496356	Raja	Pooja
229	32496356	Pooja	Raja
230	32496356	Pooja	Sher Singh
231	32496356	Sher Singh	Pooja
232	32496356	Sher Singh	Buddhi Ram Aval Chand Dimagwala
233	9600368	Thea	Anton
234	9600368	Anton	Thea
235	14471796	Frank Ginetta	Ida
236	11271307	Richard Sharpe	Jane
237	149433	Mickey Goldmill	Adrian
238	149433	Adrian	Mickey Goldmill
239	31122154	Alice Preston	Arthur
240	31122154	Charles Williams	Arthur
241	818002	Nick Parsons	Elizabeth
242	818002	Elizabeth	Nick Parsons
243	26761606	Marija	Milos
244	26761606	Milos	Marija
245	12479905	Harry Telford	Vi
246	12479905	Vi	Harry Telford
247	682280	Priscilla	Richard Parker
248	682280	Richard Parker	Priscilla
249	35281429	Chellakili	Siva
250	25446751	Mohan Babu	Lalithamba
251	25446751	Gopi	Lalithamba
252	25446751	Ganga Devi	Mohan Babu
253	25446751	Lalithamba	Mohan Babu
254	25446751	Lalithamba	Gopi
255	25446751	Gopi	Mohan Babu
256	25446751	Mohan Babu	Gopi
257	25446751	Gopi	Ganga Devi
258	25446751	Mohan Babu	Ganga Devi
259	25446751	Ganga Devi	Gopi
260	29830825	Gauri	Shanti
261	29830825	Shanti	Vijay Saxena
262	29830825	Vijay Saxena	Shanti
263	28149641	Věra Lavičková	Oldřich
264	891829	Lee Simon	Robin
265	3289723	Toby Wilkins	Bree
266	3289723	Bree	Toby Wilkins
267	9790960	Victor Frankenstein	Elizabeth
268	9790960	Elizabeth	Victor Frankenstein
269	20080263	Mary	John Mitchell
270	20080263	John Mitchell	Mary
271	22628915	Chellappa	Nirmala
272	22628915	Ashok	Vasu
273	22628915	Kanchana	Meena
274	22628915	Ashok	Nirmala
275	22628915	Chellappa	Meena
276	22628915	Ashok	Meena
277	22628915	Kanchana	Ashok
278	22628915	Nirmala	Meena
279	22628915	Nirmala	Vishwanathan
280	22628915	Chellappa	Vishwanathan
281	22628915	Vishwanathan	Nirmala
282	22628915	Meena	Ashok
283	22628915	Chellappa	Ashok
284	22628915	Nirmala	Ashok
285	22628915	Vishwanathan	Meena
286	22628915	Vasu	Meena
287	22628915	Vasu	Ashok
288	22628915	Chellappa	Kanchana
289	22628915	Chellappa	Vasu
290	22628915	Ashok	Kanchana
291	22628915	Vasu	Chellappa
292	22628915	Ashok	Chellappa
293	22628915	Meena	Vasu
294	22628915	Vishwanathan	Ashok
295	19878462	Sophie	Paul
296	15518145	Lila	Tony Norgard
297	15518145	Tony Norgard	Lila
298	16586995	Victoria	Nathan Eastman
299	16586995	Nathan Eastman	Victoria
300	30418882	Raja	Sumathi
301	30418882	Sumathi	Raja
302	3598844	Henry Spengler	Martha
303	3598844	Martha	Henry Spengler
304	22343600	Matthew O'Riordan	Jane
305	22343600	Shane	Cathy McAllister
306	1840775	Mark	Astrid Magnussen
307	1840775	Astrid Magnussen	Mark
308	2537424	Dino Capisco	Bunny
309	5094861	Fiete Jansen	Änne
310	4506211	Cora	Axel Hood
311	4506211	Axel Hood	Cora
312	3791628	Cayetano	Dolores del Paso
313	3791628	Dolores del Paso	Cayetano
314	8982671	Melanie Flood	Steve Flood
315	8982671	Steve Flood	Melanie Flood
316	29309335	Shobha Mathur	Rajan
317	29309335	Rajan	Shobha Mathur
318	13383298	William Nessen	Marhaban
319	13383298	Marhaban	William Nessen
320	7483011	Debbie	Tony Karcher
321	7483011	Tony Karcher	Debbie
322	8633676	Graeme Obree	Anne
323	8633676	Anne	Graeme Obree
324	2309020	Frank Enley	Edith
325	2309020	Edith	Frank Enley
326	3804955	Humbolt	Arline Davis
327	3804955	Arline Davis	Humbolt
328	13348116	Eric	David
329	2486990	Cindy Campbell	George Logan
330	2486990	George Logan	Cindy Campbell
331	9034057	Hank Rearden	Lillian
332	9034057	James Taggart	Lillian
333	9034057	Lillian	James Taggart
334	35736458	Marcos	Diana
335	31086423	Linda White	Abe
336	183851	Evelyn	Arnold Boult
337	183851	Arnold Boult	Evelyn
338	183851	Betty Foxley	Edward
339	183851	Edward	Betty Foxley
340	13495676	Jack Grefe	Harriet
341	13495676	Richard Sanders	Harriet
342	13495676	Harriet	Jack Grefe
343	1975043	Aminah	Aly Mansuh
344	1975043	Aly Mansuh	Aminah
345	23801123	Eduardo	Ofelia
346	23801123	Ofelia	Eduardo
347	4108752	Steve Peterson	Nina
348	28442087	Anton	Christine Minetti
349	28442087	Christine Minetti	Anton
350	7816124	Dorothy Bradford	William Bradford
351	7816124	William Bradford	Dorothy Bradford
352	25575984	Gretchen	Brent Keller
353	25575984	Brent Keller	Gretchen
354	33442164	Peter Graham	Olive Martin
355	11141678	Devi	Upendra
356	11141678	Upendra	Devi
357	1649228	Sarah	Larita
358	1649228	Larita	Sarah
359	3752065	Jiménez Melquiades	Pete Perkins
360	3752065	Jiménez Melquiades	Melquiades Estrada
361	6627556	Komal	Jab Pyaar Kisise Hota Hai
362	6627556	Jab Pyaar Kisise Hota Hai	Komal
363	20586022	Nellie	Clark Cosgrove
364	20586022	Clark Cosgrove	Nellie
365	1065214	Constanze	Antonio Salieri
366	1065214	Antonio Salieri	Constanze
367	1065214	Karl	Antonio Salieri
368	18973554	Reggie Warren	Susan
369	18973554	William Seaton	Rosemary
370	18973554	Susan	Reggie Warren
371	18973554	Emily	Christopher Lowe
372	92684	Frederick	Laura Manion
373	92684	Laura Manion	Frederick
374	92684	Laura Manion	Barney Quill
375	11077335	Pasha Antipov	Lara
376	11077335	Lara	Pasha Antipov
377	13913878	Kumaran	Menaka
378	13913878	Menaka	Kumaran
379	14736920	Badlands Blackie	Nell
380	14736920	Nell	Badlands Blackie
381	10553349	Marilyn Monroe	Charlie Chaplin
