	movie_id	character	agent_verbs	patient_verbs	attributes	title	religion	age	death	children
0	12973724	Sunita	['escape', 'uncovers', 'wishes']	['marry', 'reunited', 'marry']	['beautiful', 'daughter']					
1	12973724	Ranjit	['loses']	['married', 'reunited', 'marry']	['kings']					
2	12973724	Sohan			['deeds', 'nefarious', 'kings']					
3	3138227	Tom			['thief', 'Joy']					
4	3138227	Johnny			['son']					
5	13632712	Emily	['decide']	['help']	['first', 'her']	princess				
6	13632712	Emily	['decide']	['help']	['first', 'her']	magician				
7	13632712	Emily	['decide']	['help']	['first', 'her']	Administrator				
8	13632712	Hunter	['aiming', 'kill', 'concludes']							
9	7445296	Paul Menford	['spies', 'admits', 'goes', 'falls', 'introduces']							
10	7445296	Dorothy	['makes']	['meet', 'introduces', 'find']	['daughter']					his
11	13914496	Achootty	['wants', 'says', 'goes', 'rescues', 'killed', 'want', 'sea', 'son', 'talk', 'brings']		['daughter', 'fisherman', 'story', 'admiration', 'uneducated', 'daughter', 'innocence']	doctor				
12	13914496	Achootty	['wants', 'says', 'goes', 'rescues', 'killed', 'want', 'sea', 'son', 'talk', 'brings']		['daughter', 'fisherman', 'story', 'admiration', 'uneducated', 'daughter', 'innocence']	fisherman				
13	13914496	Radha			['daughter']					his
14	2559713	Sadie Thompson	['passes', 'goes', 'switches']	['confronts', 'asks', 'marry']	['prostitute']	prostitute				
15	2559713	Tim O'Hara	['start', 'asks', 'falls']			Sergeant				
16	2559713	Davidsons	['stand', 'resolving']	['save']						
17	2559713	Alfred Davidson	['succumbs', 'has', 'confronts']	['begs', 'allow']	['missionary', 'repressed', 'wife']	missionary				
18	2559713	Alfred Davidson	['succumbs', 'has', 'confronts']	['begs', 'allow']	['missionary', 'repressed', 'wife']	prostitute				
19	195388	Julio	['admits', 'tells', 'have', 'sees']	['informs', 'died']	['girlfriend']					
20	195388	Luisa	['speaking', 'rises', 'threatens', 'makes', 'stayed', 'died', 'tries']	['leave', 'meet']	['wife']				cancer	
21	195388	Tenoch	['reveals', 'goes', 'finds', 'have', 'informs']	['tells']	['mother']					
22	195388	Jano	['confesses']	['telephones']	['wife']					
23	231486	Jake Perry	['wishes', 'gone', 'tells', 'returned', 'says', 'becomes', 'shows', 'pushes', 'become', 'person', 'sign', 'made', 'meets', 'takes']	['finds', 'loves', 'try']	['mother', 'following', 'irresponsibility', 'baby', 'ex-wife']					
24	231486	Melanie Smooter	['explains', 'goes', 'wakes', 'father', 'got', 'tells', 'finds', 'forgot', 'punches', 'says', 'embarrasses', 'visit', 'learns', 'realizes', 'demands', 'grew', 'leaving', 'changed', 'retaliates', 'gets', 'tries', 'returns', 'visits', 'surprised']	['tells', 'tell', 'see', 'sign', 'apologize', 'rebuffs', 'attacking', 'wanted', 'sneak', 'sees']	['other', 'son', 'friends', 'cousin', 'mother']	fashion designer				
25	231486	Andrew	['find', 'leaves', 'wishes', 'arrives', 'rebuffs', 'sees', 'tells', 'accepts']	['attacking', 'tells', 'told']	['son', 'mother']					
26	231486	Carmichael	['hide']							
27	231486	Wade	['takes']		['sheriff']	sheriff				
28	4736948	Pyare	['go', 'hear', 'protect', 'becomes', 'uses', 'blind']	['return', 'run', 'save']	['faint']					
29	4736948	Mohan	['go', 'hear', 'protect', 'deaf']	['run', 'awaken', 'return']						
30	4736948	Tony	['becomes', 'hopes', 'finds', 'scared', 'grabs', 'starts', 'feels']	['kill', 'called', 'find', 'don', 'arrested']	['men']					
31	4736948	Tiny			['brother']					
32	1062036	Cryer			['stars']					
33	19410544	Bing	['tells', 'makes']		['madness']					
34	19410544	Baroness Sandra	['get']							
35	19410544	Aldo Bondi				pallbearer				
36	1179416	Lancelot	['navigates', 'face', 'feels', 'poses', 'arrives', 'seizes', 'tries', 'unsuccessful', 'kills']	['wandering', 'asks', 'orphaned', 'take', 'love', 'win', 'rendered']	['courage']	messenger				
37	1179416	Arthur	['wishes', 'dedicated', 'shows', 'commands', 'dies']	['kill', 'marry', 'love']	['her', 'victorious', 'body', 'sword']	King				
38	1179416	Guinevere	['claims']	['imprisoned', 'kidnapped', 'love']						
39	1179416	Malagant	['face', 'interrupted', 'desires']	['kills']	['Knight', 'men', 'ready', 'followers']					
40	1179416	Camelot		['burn']	['people', 'square', 'soldiers']					
41	33097020	Pran		['featuring']						
42	5894429	Chuck	['make', 'boarded']	['loved']						
43	5894429	Ethel Ann	['travels', 'reveals']	['freed', 'Joining', 'tells']						her
44	5894429	Jack	['admits', 'boarded']		['friend', 'friends']					
45	5894429	Jimmy	['flees']		['Belfast']					
46	5894429	Quinlan	['tells']							
47	5894429	Marie	['shocked', 'know']		['daughter']					
48	5894429	Teddy Gordon	['died']		['words', 'souvenirs', 'memory']	farmer				
49	2768210	Talbot	['comes']							
50	2768210	Jumper			['father']					her
51	2768210	Dolan			['husband']					
52	327582	Anderson	['rents', 'makes', 'fulfill', 'hitman']		['paranoid']	hitman				
53	327582	Miguel	['breathe']	['interrogated']						
54	327582	Frank Cassavetes				actress				
55	327582	Frank Cassavetes				director				
56	327582	John Cassavetes				director				
57	327582	Gena Rowlands				actress				
58	327582	Gena Rowlands				director				
59	13702809	Sarah	['begs', 'has', 'shocked', 'finds', 'tells', 'need', 'ended', 'making', 'express', 'runs', 'agrees', 'asks']	['see', 'believes', 'asks', 'follows', 'leave', 'go', 'accuses', 'asking']	['diary', 'lover', 'house', 'his', 'former', 'husband']					
60	13702809	Maurice Bendrix	['it', 'awakes', 'narrates', 'accuses', 'hires', 'has', 'stays', 'completes', 'comes', 'express', 'prays', 'follows', 'learns', 'falls']	['hurt', 'tells', 'meet', 'asks', 'leave', 'seeing']	['building', 'flashbacks', 'life', 'obsession']	Novelist				
61	13702809	Parkis	['passes', 'uses', 'obtains', 'tells']		['amiable']					
62	13702809	Henry Miles	['tells', 'tracks']		['jealousy']					
63	1122412	Becker	['tries', 'discovers', 'agent', 'visits']	['figure']	['attempt', 'executive']	executive				
64	24065137	Wilbur			['Bugs']					
65	568780	Gertrude	['took']		['wife']					
66	568780	Ollie	['work', 'able', 'speaks', 'trashes']	['win', 'make', 'makes']	['life']	civil servant				
67	568780	Gertie	['patch', 'coaxes', 'interrupted']	['ends']	['daughter', 'performance', 'show']					
68	568780	Will Smith	['has']		['man']					
69	568780	Arthur	['sets']		['protégé']					
70	568780	Maya		['meet', 'ends']	['one']					
71	568780	Bart		['ends']	['father']					
72	12210337	Adam	['starts', 'breaks', 'grows']		['backpacker']					
73	12210337	Ko Samui			['side']					
74	36354625	Sanju	['decides', 'refuses', 'playing']	['given', 'team', 'recognize']	['wants']					
75	28372726	Harry Hunter	['decides', 'mess']	['give']	['mistress', 'employee']					
76	28372726	David Sloane	['has', 'decides', 'meets', 'courts']	['do']		attorney				
77	28372726	Carol Corman	['come']	['realize']	['neighbor']					
78	28372726	Muriel Laszlo	['come']	['realize']						
79	1964205	Michael Reynolds	['succumbs', 'have', 'become', 'die']	['dies']						
80	1964205	Paddy Button	['dies']			sailor				
81	2038132	Rajesh	['manages', 'discover']		['brother', 'wedding', 'hands']					
82	2038132	Kailashnath	['friends', 'feel']		['family', 'house']					
83	2038132	Siddharth Chaudhary	['have', 'unable', 'come']	['celebrate', 'come']		Professor				
84	2038132	Prem	['takes', 'agree', 'start', 'fall', 'gets', 'lost', 'marry', 'love']	['sacrifice']	['man']					
85	2038132	Nisha	['promise', 'marry', 'married', 'love', 'agree', 'takes', 'mother', 'start', 'sends', 'fall', 'overhears']	['send', 'sacrifice']	['woman', 'daughters']					
86	2038132	Pooja	['gets', 'discover', 'goes', 'gives', 'given', 'finds']	['answer']	['delivery', 'daughters']					
87	17643352	Rahul	['watch', 'unable', 'starts', 'run']	['take', 'she', 'devastated']	['director']	movie director				
88	17643352	Pooja	['run', 'alive']	['killed']	['inmate', 'death', 'dad', 'paranoia']	police officer				
89	17643352	Seema			['actresses']					
90	17643352	Rohit			['brother']					
91	6107147	Ellen	['ignored', 'feel']		['wife', 'professor']	professor				
